holdout_split,selected_method,selection_rmse,holdout_rmse,holdout_mae,holdout_r2
target_matched_01,Baseline_Local04D,0.48262785322240814,0.5661072695588897,0.34873441086785817,0.5239077399544807
target_matched_02,Baseline_Local04D,0.4912557460601328,0.43668887699302006,0.3364077333260355,0.7104232787502934
target_matched_03,Blend_Local_CatBoost_w0p10,0.4851539242571417,0.5281608721154551,0.3546285447923676,0.6076677092229521
target_matched_04,Blend_Local_CatBoost_w0p10,0.4942999499830785,0.39097048622640346,0.3205562942062462,0.756585383225414
target_matched_05,Blend_Local_CatBoost_w0p10,0.4877746014271513,0.48885071456531176,0.31942814839200556,0.6092899176351129
target_matched_06,Baseline_Local04D,0.4911114162173373,0.43885382463495287,0.3383772983691235,0.734909196348617
target_matched_07,Blend_Local_CatBoost_w0p10,0.4848736580548338,0.5323648651500746,0.36330831206151193,0.6521592701992978
target_matched_08,Baseline_Local04D,0.49555317758029677,0.3722274041905601,0.2880767213433141,0.7581902107010042
target_matched_09,Blend_Local_CatBoost_w0p10,0.48604470227550556,0.5147992018399982,0.3293118755875463,0.6026741010717989
target_matched_10,Blend_Local_CatBoost_w0p10,0.48286720715445935,0.5624616286556914,0.409451372700961,0.5976521994297808
target_matched_11,Blend_Local_CatBoost_w0p10,0.4901462954940103,0.4532753035624269,0.270872886909618,0.702432214675202
target_matched_12,Blend_Local_CatBoost_w0p10,0.47927825064930957,0.6162959762329371,0.42740537459016786,0.5656855427769165
target_matched_13,Baseline_Local04D,0.49528420677559365,0.3762619662611072,0.3040067205178159,0.7899244242578168
target_matched_14,Baseline_Local04D,0.4906555135302765,0.44569236494086484,0.3291966649367133,0.7573745156386278
target_matched_15,Baseline_Local04D,0.47405502943681993,0.6946996263427138,0.44968819814601874,0.3321516337190119
target_matched_16,Baseline_Local04D,0.4934066050795584,0.4044259917016354,0.30144516690098005,0.7585033033465893
